Date,Description,Amount
2026-06-01,DIRECT DEPOSIT PAYCHECK,2450.00
2026-06-02,SQ *BLUE BOTTLE COFFEE,-6.75
2026-06-02,SHELL OIL 57443021,-42.10
2026-06-03,TRADER JOES #112,-88.32
2026-06-04,NETFLIX.COM,-15.49
2026-06-05,SQ *BLUE BOTTLE COFFEE,-5.25
2026-06-07,AMAZON MKTPLACE PMTS,-34.99
2026-06-08,CHIPOTLE 0284,-12.40
2026-06-10,SPOTIFY USA,-11.99
2026-06-11,TRADER JOES #112,-61.05
2026-06-13,SQ *BLUE BOTTLE COFFEE,-6.75
2026-06-14,SHELL OIL 57443021,-39.80
2026-06-15,DIRECT DEPOSIT PAYCHECK,2450.00
2026-06-16,CHIPOTLE 0284,-13.10
2026-06-18,AMAZON MKTPLACE PMTS,-58.20
2026-06-20,TRADER JOES #112,-74.18
2026-06-22,SQ *BLUE BOTTLE COFFEE,-6.75
2026-06-25,NETFLIX REFUND,15.49
2026-06-27,SHELL OIL 57443021,-45.00
2026-06-29,PAYROLL ADV EMPLOYER,2450.00
