Date,Description,Amount
2026-06-05,ZELLE PAYMENT TO SARAH KIM 06/05,-45.00
2026-06-12,ZELLE PAYMENT FROM SARAH KIM 06/12,20.00
2026-06-18,VENMO PAYMENT TO MIKE CHEN,-32.50
2026-06-25,ZELLE TO PRIYA PATEL,-60.00
2026-07-02,ZELLE PAYMENT FROM MIKE CHEN 07/02,32.50
2026-07-08,VENMO FROM PRIYA PATEL,60.00
2026-07-14,CASH APP *ALEX RIVERA,-25.00
2026-07-20,ZELLE PAYMENT TO JASON LEE 07/20,-100.00
2026-07-22,PAYPAL *SARAH KIM,-15.75
2026-07-29,ZELLE PAYMENT FROM JASON LEE 07/29,40.00
2026-08-03,VENMO PAYMENT TO ALEX RIVERA,-18.00
2026-08-05,ZELLE PAYMENT TO SARAH KIM 08/05,-22.00
2026-08-07,ZELLE PAYMENT FROM PRIYA PATEL 08/07,15.00
2026-08-08,VENMO TO MIKE CHEN,-50.00
2026-08-09,CASH APP *JASON LEE,-30.00
